"Domain","IP_address","Country","City","ISP","Organization","AS_number","Request_status"
"google.com","142.250.179.206","The Netherlands","Amsterdam","Google LLC","Google LLC","AS15169 Google LLC","success"
"youtube.com","142.251.36.46","The Netherlands","Amsterdam","Google LLC","Google LLC","AS15169 Google LLC","success"
"facebook.com","57.144.222.1","The Netherlands","Amsterdam","Facebook, Inc.","Meta Platforms Ireland Limited","AS32934 Facebook, Inc.","success"
"baidu.com","220.181.7.203","China","Beijing","IDC, China Telecommunications Corporation","","AS23724 IDC, China Telecommunications Corporation","success"
"wikipedia.org","185.15.59.224","The Netherlands","Amsterdam","Wikimedia esams infra","","AS14907 Wikimedia Foundation Inc.","success"
"qq.com","123.150.76.218","China","Youyilu","Tianjij, ","Chinanet TJ","AS58542 Tianjij,300000","success"
"taobao.com","59.82.43.238","China","Hangzhou","Hangzhou Alibaba Advertising Co","Hangzhou Alibaba Advertising Co., Ltd.","AS37963 Hangzhou Alibaba Advertising Co.,Ltd.","success"
"yahoo.com","2001:4998:124:1507::f000","United States","Lockport","Oath Holdings Inc.","Oath Holdings Inc","AS26101 Yahoo Holdings Inc.","success"
"amazon.com","98.87.170.74","United States","Ashburn","AT&T Corp.","Amazon Technologies Inc. (us-east-1)","AS14618 Amazon.com, Inc.","success"
"twitter.com","162.159.140.229","Canada","Toronto","Cloudflare, Inc.","Cloudflare, Inc.","AS13335 Cloudflare, Inc.","success"
