"Domain","IP","Country","City","ISP","Organization","AS","Status"
"google.com","142.251.30.100","United States","Mountain View","Google LLC","Google LLC","AS15169 Google LLC","success"
"youtube.com","2a00:1450:4009:c13::be","United Kingdom","London","Google LLC","Google Public DNS (lhr)","AS15169 Google LLC","success"
"facebook.com","157.240.214.35","United Kingdom","London","Facebook, Inc.","Facebook, Inc.","AS32934 Facebook, Inc.","success"
"baidu.com","220.181.7.203","China","Beijing","IDC, China Telecommunications Corporation","","AS23724 IDC, China Telecommunications Corporation","success"
"wikipedia.org","185.15.59.224","The Netherlands","Amsterdam","Wikimedia esams infra","","AS14907 Wikimedia Foundation Inc.","success"
"qq.com","203.205.254.157","Hong Kong","Hong Kong","Shenzhen Tencent Computer Systems Company Limited","Tencent","AS132203 Tencent Building, Kejizhongyi Avenue","success"
"taobao.com","59.82.44.240","China","Hangzhou","Hangzhou Alibaba Advertising Co","Hangzhou Alibaba Advertising Co., Ltd.","AS37963 Hangzhou Alibaba Advertising Co.,Ltd.","success"
"yahoo.com","74.6.231.20","United States","Omaha","Oath Holdings Inc.","Oath Holdings Inc","AS36646 Yahoo Holdings Inc.","success"
"amazon.com","98.87.170.74","United States","Ashburn","AT&T Corp.","Amazon Technologies Inc. (us-east-1)","AS14618 Amazon.com, Inc.","success"
"twitter.com","172.66.0.227","Canada","Toronto","Cloudflare, Inc.","Cloudflare, Inc.","AS13335 Cloudflare, Inc.","success"
