"Domain","IP","Country","City","ISP","Organization","AS","Status"
"google.com","142.251.29.138","United States","Mountain View","Google LLC","Google LLC","AS15169 Google LLC","success"
"youtube.com","2a00:1450:4009:c13::5b","United Kingdom","London","Google LLC","Google Public DNS (lhr)","AS15169 Google LLC","success"
"facebook.com","57.144.240.1","United Kingdom","London","Facebook, Inc.","Meta Platforms Ireland Limited","AS32934 Facebook, Inc.","success"
"baidu.com","220.181.7.203","China","Beijing","IDC, China Telecommunications Corporation","","AS23724 IDC, China Telecommunications Corporation","success"
"wikipedia.org","185.15.59.224","The Netherlands","Amsterdam","Wikimedia esams infra","","AS14907 Wikimedia Foundation Inc.","success"
"qq.com","113.108.81.189","China","Guangzhou","Chinanet","Chinanet GD","AS4134 CHINANET-BACKBONE","success"
"taobao.com","2401:b180:7003::ed","China","Hangzhou","Hangzhou Alibaba Advertising Co","Alibaba (China) Technology Co., Ltd.","AS37963 Hangzhou Alibaba Advertising Co.,Ltd.","success"
"yahoo.com","2001:4998:124:1507::f001","United States","Lockport","Oath Holdings Inc.","Oath Holdings Inc","AS26101 Yahoo Holdings Inc.","success"
"amazon.com","98.87.170.74","United States","Ashburn","AT&T Corp.","Amazon Technologies Inc. (us-east-1)","AS14618 Amazon.com, Inc.","success"
"twitter.com","162.159.140.229","Canada","Toronto","Cloudflare, Inc.","Cloudflare, Inc.","AS13335 Cloudflare, Inc.","success"
